"Hastighed","Advarselsskilt"
42,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
44,"Skilt"
44,"Skilt"
45,"Skilt"
45,"Skilt"
45,"Skilt"
48,"Skilt"
48,"Skilt"
48,"Skilt"
51,"Skilt"
21,"Ikke skilt"
25,"Ikke skilt"
25,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
27,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
43,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
48,"Ikke skilt"
51,"Ikke skilt"
28,"Ikke skilt"
29,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
41,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
46,"Ikke skilt"
46,"Ikke skilt"
46,"Ikke skilt"
46,"Ikke skilt"
47,"Ikke skilt"
48,"Ikke skilt"
48,"Ikke skilt"
50,"Ikke skilt"
53,"Ikke skilt"
56,"Ikke skilt"
25,"Skilt"
28,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
44,"Skilt"
44,"Skilt"
44,"Skilt"
45,"Skilt"
45,"Skilt"
45,"Skilt"
46,"Skilt"
46,"Skilt"
46,"Skilt"
46,"Skilt"
47,"Skilt"
47,"Skilt"
48,"Skilt"
50,"Skilt"
50,"Skilt"
52,"Skilt"
53,"Skilt"
54,"Skilt"
57,"Skilt"
27,"Skilt"
29,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
42,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
45,"Skilt"
46,"Skilt"
46,"Skilt"
50,"Skilt"
50,"Skilt"
51,"Skilt"
22,"Ikke skilt"
22,"Ikke skilt"
23,"Ikke skilt"
24,"Ikke skilt"
24,"Ikke skilt"
25,"Ikke skilt"
25,"Ikke skilt"
25,"Ikke skilt"
25,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
27,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
37,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
39,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
25,"Ikke skilt"
26,"Ikke skilt"
27,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
39,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
42,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
45,"Ikke skilt"
46,"Ikke skilt"
47,"Ikke skilt"
47,"Ikke skilt"
50,"Ikke skilt"
50,"Ikke skilt"
51,"Ikke skilt"
52,"Ikke skilt"
22,"Skilt"
24,"Skilt"
24,"Skilt"
25,"Skilt"
25,"Skilt"
25,"Skilt"
26,"Skilt"
26,"Skilt"
27,"Skilt"
27,"Skilt"
27,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
42,"Skilt"
42,"Skilt"
44,"Skilt"
21,"Skilt"
25,"Skilt"
26,"Skilt"
26,"Skilt"
26,"Skilt"
26,"Skilt"
26,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
41,"Skilt"
42,"Skilt"
43,"Skilt"
43,"Skilt"
44,"Skilt"
45,"Skilt"
46,"Skilt"
24,"Skilt"
24,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
42,"Skilt"
42,"Skilt"
43,"Skilt"
43,"Skilt"
44,"Skilt"
44,"Skilt"
44,"Skilt"
45,"Skilt"
45,"Skilt"
45,"Skilt"
46,"Skilt"
47,"Skilt"
48,"Skilt"
49,"Skilt"
50,"Skilt"
55,"Skilt"
27,"Skilt"
28,"Skilt"
28,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
42,"Skilt"
42,"Skilt"
43,"Skilt"
44,"Skilt"
44,"Skilt"
44,"Skilt"
45,"Skilt"
45,"Skilt"
45,"Skilt"
47,"Skilt"
47,"Skilt"
47,"Skilt"
48,"Skilt"
49,"Skilt"
49,"Skilt"
26,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
27,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
29,"Ikke skilt"
30,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
38,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
39,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
40,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
41,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
42,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
43,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
44,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
45,"Ikke skilt"
46,"Ikke skilt"
47,"Ikke skilt"
47,"Ikke skilt"
48,"Ikke skilt"
48,"Ikke skilt"
50,"Ikke skilt"
50,"Ikke skilt"
52,"Ikke skilt"
55,"Ikke skilt"
22,"Ikke skilt"
25,"Ikke skilt"
26,"Ikke skilt"
26,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
28,"Ikke skilt"
29,"Ikke skilt"
29,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
30,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
31,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
32,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
33,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
34,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
35,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
36,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
37,"Ikke skilt"
38,"Ikke skilt"
